t 	 x 	 z
0	-1.31362	19.3832
0.01	-1.11979	20.4472
0.02	-0.915318	21.3542
0.03	-0.701776	22.0956
0.04	-0.48082	22.6641
0.05	-0.254179	23.0535
0.06	-0.0236438	23.2594
0.07	0.20895	23.2786
0.08	0.441736	23.1093
0.09	0.672829	22.7515
0.1	0.900344	22.2065
0.11	1.12241	21.4772
0.12	1.33718	20.5681
0.13	1.54286	19.485
0.14	1.73771	18.2352
0.15	1.92006	16.8277
0.16	2.08834	15.2724
0.17	2.24107	13.5809
0.18	2.37688	11.7656
0.19	2.49453	9.84036
0.2	2.59293	7.81979
0.21	2.67113	5.71951
0.22	2.72833	3.5559
0.23	2.76389	1.34595
0.24	2.77735	-0.892799
0.25	2.76842	-3.14245
0.26	2.73699	-5.38487
0.27	2.68315	-7.60183
0.28	2.60713	-9.77518
0.29	2.50938	-11.887
0.3	2.39051	-13.9195
0.31	2.25131	-15.8559
0.32	2.09275	-17.6794
0.33	1.91596	-19.3745
0.34	1.72221	-20.9265
0.35	1.51295	-22.3215
0.36	1.28973	-23.547
0.37	1.05426	-24.5916
0.38	0.808347	-25.4456
0.39	0.553891	-26.1003
0.4	0.292887	-26.549
0.41	0.0273973	-26.7862
0.42	-0.240465	-26.8084
0.43	-0.508549	-26.6137
0.44	-0.774686	-26.2017
0.45	-1.0367	-25.5742
0.46	-1.29245	-24.7345
0.47	-1.53979	-23.6876
0.48	-1.77667	-22.4404
0.49	-2.00107	-21.0013
0.5	-2.21108	-19.3804
0.51	-2.40489	-17.5894
0.52	-2.58078	-15.6415
0.53	-2.7372	-13.5511
0.54	-2.87271	-11.3339
0.55	-2.98605	-9.00703
0.56	-3.07612	-6.58833
0.57	-3.142	-4.09668
0.58	-3.18297	-1.55166
0.59	-3.19848	1.02655
0.6	-3.18822	3.61732
0.61	-3.15205	6.19978
0.62	-3.09005	8.75293
0.63	-3.00252	11.2559
0.64	-2.88996	13.6879
0.65	-2.75308	16.0288
0.66	-2.59279	18.2588
0.67	-2.4102	20.3589
0.68	-2.20662	22.3112
0.69	-1.9835	24.0986
0.7	-1.74252	25.7052
0.71	-1.48547	27.1166
0.72	-1.2143	28.3199
0.73	-0.931101	29.3034
0.74	-0.638067	30.0576
0.75	-0.33749	30.5745
0.76	-0.0317454	30.8478
0.77	0.276733	30.8736
0.78	0.585469	30.6494
0.79	0.891963	30.1752
0.8	1.19371	29.4527
0.81	1.48824	28.4858
0.82	1.7731	27.2803
0.83	2.0459	25.8441
0.84	2.30434	24.1869
0.85	2.54621	22.3204
0.86	2.76942	20.258
0.87	2.972	18.0147
0.88	3.15214	15.6074
0.89	3.30822	13.0542
0.9	3.43876	10.3745
0.91	3.5425	7.58913
0.92	3.61839	4.7197
0.93	3.66559	1.7888
0.94	3.68348	-1.18033
0.95	3.67168	-4.16395
0.96	3.63004	-7.138
0.97	3.55866	-10.0783
0.98	3.45787	-12.9608
0.99	3.32827	-15.7617
1	3.17065	-18.4576
1.01	2.98607	-21.0258
1.02	2.77581	-23.4446
1.03	2.54137	-25.693
1.04	2.28444	-27.7515
1.05	2.00692	-29.6019
1.06	1.7109	-31.2275
1.07	1.39863	-32.6133
1.08	1.0725	-33.7462
1.09	0.735035	-34.6149
1.1	0.388885	-35.2103
1.11	0.0367822	-35.5253
1.12	-0.318471	-35.5551
1.13	-0.674022	-35.2971
1.14	-1.02699	-34.7512
1.15	-1.3745	-33.9193
1.16	-1.7137	-32.806
1.17	-2.04176	-31.4179
1.18	-2.35594	-29.764
1.19	-2.65358	-27.8557
1.2	-2.93213	-25.7063
1.21	-3.1892	-23.3313
1.22	-3.42251	-20.7481
1.23	-3.62999	-17.9758
1.24	-3.80975	-15.0355
1.25	-3.9601	-11.9496
1.26	-4.0796	-8.74195
1.27	-4.16702	-5.43748
1.28	-4.2214	-2.06219
1.29	-4.24202	1.35714
1.3	-4.22845	4.79318
1.31	-4.18051	8.21822
1.32	-4.09833	11.6044
1.33	-3.98229	14.9241
1.34	-3.83305	18.1497
1.35	-3.65155	21.2545
1.36	-3.439	24.2123
1.37	-3.19688	26.9979
1.38	-2.9269	29.5873
1.39	-2.63103	31.9581
1.4	-2.31145	34.0893
1.41	-1.97056	35.9615
1.42	-1.61094	37.5577
1.43	-1.23536	38.8625
1.44	-0.846739	39.8632
1.45	-0.448107	40.549
1.46	-0.0426167	40.912
1.47	0.366503	40.9465
1.48	0.775969	40.6497
1.49	1.18247	40.0211
1.5	1.58268	39.0633
1.51	1.97331	37.7814
1.52	2.35112	36.183
1.53	2.71295	34.2786
1.54	3.05574	32.0811
1.55	3.37655	29.6059
1.56	3.67261	26.8709
1.57	3.94132	23.8961
1.58	4.18028	20.7036
1.59	4.38732	17.3176
1.6	4.56049	13.7639
1.61	4.69813	10.0699
1.62	4.79883	6.26441
1.63	4.86147	2.37735
1.64	4.88525	-1.56044
1.65	4.86964	-5.51749
1.66	4.81447	-9.4619
1.67	4.71985	-13.3616
1.68	4.58623	-17.1847
1.69	4.41439	-20.8995
1.7	4.20539	-24.4752
1.71	3.96064	-27.8816
1.72	3.68182	-31.0897
1.73	3.37093	-34.072
1.74	3.03021	-36.8024
1.75	2.66218	-39.2569
1.76	2.26961	-41.4132
1.77	1.85548	-43.2516
1.78	1.42296	-44.7546
1.79	0.975419	-45.9072
1.8	0.516347	-46.6973
1.81	0.0493747	-47.1155
1.82	-0.42178	-47.1555
1.83	-0.893335	-46.8139
1.84	-1.36147	-46.0903
1.85	-1.82238	-44.9875
1.86	-2.27225	-43.5113
1.87	-2.70736	-41.6708
1.88	-3.12407	-39.4778
1.89	-3.51885	-36.9473
1.9	-3.88832	-34.0971
1.91	-4.2293	-30.9475
1.92	-4.53877	-27.5218
1.93	-4.81399	-23.8454
1.94	-5.05244	-19.9461
1.95	-5.2519	-15.8536
1.96	-5.41044	-11.5996
1.97	-5.52643	-7.2171
1.98	-5.59861	-2.74068
1.99	-5.62601	1.79419
2	-5.60807	6.35126
2.01	-5.54456	10.8938
2.02	-5.43562	15.3849
2.03	-5.28177	19.7877
2.04	-5.08389	24.066
2.05	-4.84323	28.1839
2.06	-4.5614	32.1069
2.07	-4.24033	35.8017
2.08	-3.88231	39.2363
2.09	-3.48995	42.381
2.1	-3.06614	45.2079
2.11	-2.61406	47.6914
2.12	-2.13714	49.8088
2.13	-1.63905	51.5399
2.14	-1.12365	52.8675
2.15	-0.594979	53.7777
2.16	-0.0572024	54.2596
2.17	0.485394	54.306
2.18	1.02845	53.9128
2.19	1.56758	53.0798
2.2	2.09838	51.81
2.21	2.61648	50.1103
2.22	3.11758	47.991
2.23	3.59749	45.4657
2.24	4.05215	42.5518
2.25	4.47767	39.2695
2.26	4.87036	35.6426
2.27	5.22679	31.6976
2.28	5.54376	27.4639
2.29	5.8184	22.9735
2.3	6.04814	18.2606
2.31	6.23074	13.3616
2.32	6.36436	8.31467
2.33	6.44751	3.15954
2.34	6.4791	-2.06294
2.35	6.45847	-7.31102
2.36	6.38536	-12.5424
2.37	6.25994	-17.7145
2.38	6.08279	-22.7851
2.39	5.85494	-27.7121
2.4	5.57782	-32.4546
2.41	5.25328	-36.9727
2.42	4.88355	-41.2278
2.43	4.47127	-45.1835
2.44	4.01944	-48.8052
2.45	3.53138	-52.061
2.46	3.01077	-54.9214
2.47	2.46156	-57.3601
2.48	1.88796	-59.354
2.49	1.29442	-60.8832
2.5	0.685586	-61.9317
2.51	0.0662688	-62.487
2.52	-0.558602	-62.5407
2.53	-1.18401	-62.0882
2.54	-1.80489	-61.1292
2.55	-2.41618	-59.6672
2.56	-3.01286	-57.7101
2.57	-3.58996	-55.2697
2.58	-4.14265	-52.3618
2.59	-4.66627	-49.0063
2.6	-5.15634	-45.2266
2.61	-5.6086	-41.05
2.62	-6.0191	-36.507
2.63	-6.38417	-31.6315
2.64	-6.70049	-26.4604
2.65	-6.96509	-21.033
2.66	-7.17542	-15.3913
2.67	-7.32933	-9.57916
2.68	-7.42512	-3.6424
2.69	-7.46155	2.37195
2.7	-7.43783	8.4158
2.71	-7.35367	14.4404
2.72	-7.20927	20.3969
2.73	-7.0053	26.2364
2.74	-6.74293	31.9107
2.75	-6.42383	37.3725
2.76	-6.0501	42.5758
2.77	-5.62434	47.4764
2.78	-5.14958	52.0321
2.79	-4.62926	56.2032
2.8	-4.06723	59.9529
2.81	-3.4677	63.2474
2.82	-2.83522	66.0562
2.83	-2.17466	68.3528
2.84	-1.49113	70.1142
2.85	-0.78999	71.3221
2.86	-0.0767694	71.9619
2.87	0.64285	72.0241
2.88	1.36309	71.5034
2.89	2.07813	70.3993
2.9	2.78212	68.716
2.91	3.46928	66.4625
2.92	4.1339	63.6524
2.93	4.77043	60.3039
2.94	5.37347	56.4399
2.95	5.93787	52.0874
2.96	6.45874	47.2777
2.97	6.93152	42.0461
2.98	7.35198	36.4316
2.99	7.7163	30.4765
3	8.02106	24.2263
3.01	8.26332	17.7292
3.02	8.44062	11.036
3.03	8.55098	4.19905
3.04	8.59297	-2.72724
3.05	8.56569	-9.68754
3.06	8.46882	-16.6258
3.07	8.30256	-23.4855
3.08	8.06771	-30.2106
3.09	7.7656	-36.7454
3.1	7.39815	-43.0355
3.11	6.96779	-49.028
3.12	6.47751	-54.672
3.13	5.93079	-59.9187
3.14	5.3316	-64.7227
3.15	4.68438	-69.0413
3.16	3.99396	-72.8356
3.17	3.26561	-76.0707
3.18	2.5049	-78.7159
3.19	1.71774	-80.7448
3.2	0.910293	-82.1362
3.21	0.0889307	-82.8736
3.22	-0.739805	-82.9456
3.23	-1.56926	-82.3463
3.24	-2.39272	-81.0752
3.25	-3.20348	-79.1371
3.26	-3.99485	-76.5423
3.27	-4.76027	-73.3065
3.28	-5.49334	-69.4507
3.29	-6.18784	-65.0011
3.3	-6.83785	-59.9889
3.31	-7.43774	-54.4503
3.32	-7.98225	-48.4257
3.33	-8.4665	-41.9601
3.34	-8.8861	-35.1022
3.35	-9.23712	-27.9045
3.36	-9.51617	-20.4224
3.37	-9.72039	-12.7143
3.38	-9.84754	-4.84077
3.39	-9.89594	3.13573
3.4	-9.86459	11.1514
3.41	-9.75307	19.1418
3.42	-9.56165	27.0418
3.43	-9.29124	34.7867
3.44	-8.94337	42.3126
3.45	-8.52024	49.5567
3.46	-8.02468	56.4581
3.47	-7.4601	62.9581
3.48	-6.83051	69.0008
3.49	-6.14051	74.5335
3.5	-5.39517	79.5073
3.51	-4.6001	83.8774
3.52	-3.76132	87.6035
3.53	-2.88529	90.6502
3.54	-1.97879	92.9872
3.55	-1.04892	94.5901
3.56	-0.103015	95.4397
3.57	0.851382	95.5231
3.58	1.80661	94.8335
3.59	2.75495	93.3701
3.6	3.68865	91.1386
3.61	4.60004	88.1508
3.62	5.48154	84.4248
3.63	6.32579	79.9848
3.64	7.12564	74.8609
3.65	7.87425	69.0891
3.66	8.56514	62.711
3.67	9.19225	55.7732
3.68	9.74998	48.3275
3.69	10.2333	40.43
3.7	10.6376	32.141
3.71	10.959	23.5246
3.72	11.1942	14.6479
3.73	11.3407	5.58055
3.74	11.3965	-3.60541
3.75	11.3604	-12.8366
3.76	11.2321	-22.0385
3.77	11.0117	-31.1365
3.78	10.7003	-40.056
3.79	10.2998	-48.7232
3.8	9.81253	-57.0661
3.81	9.24187	-65.0142
3.82	8.59173	-72.5001
3.83	7.86673	-79.4594
3.84	7.07214	-85.8315
3.85	6.21382	-91.5599
3.86	5.29822	-96.5931
3.87	4.33229	-100.885
3.88	3.32344	-104.394
3.89	2.27951	-107.086
3.9	1.20865	-108.932
3.91	0.119326	-109.911
3.92	-0.979786	-110.008
3.93	-2.07986	-109.214
3.94	-3.17201	-107.53
3.95	-4.2473	-104.96
3.96	-5.2969	-101.52
3.97	-6.3121	-97.2294
3.98	-7.2844	-92.1166
3.99	-8.20556	-86.2162
4	-9.06773	-79.5697
4.01	-9.86342	-72.2249
4.02	-10.5857	-64.2355
4.03	-11.228	-55.6611
4.04	-11.7846	-46.5664
4.05	-12.2503	-37.0209
4.06	-12.6205	-27.0981
4.07	-12.8915	-16.8755
4.08	-13.0602	-6.43338
4.09	-13.1246	4.14542
4.1	-13.0831	14.7763
4.11	-12.9354	25.3737
4.12	-12.6816	35.8513
4.13	-12.3231	46.1234
4.14	-11.8619	56.1051
4.15	-11.3008	65.7133
4.16	-10.6437	74.8669
4.17	-9.89503	83.4883
4.18	-9.06014	91.5033
4.19	-8.14511	98.842
4.2	-7.15669	105.44
4.21	-6.10229	111.236
4.22	-4.98993	116.179
4.23	-3.82814	120.221
4.24	-2.62592	123.322
4.25	-1.3927	125.449
4.26	-0.138215	126.577
4.27	1.12756	126.689
4.28	2.39445	125.776
4.29	3.6522	123.836
4.3	4.89056	120.878
4.31	6.09934	116.917
4.32	7.26851	111.976
4.33	8.38827	106.089
4.34	9.44916	99.2941
4.35	10.4421	91.6403
4.36	11.3585	83.1822
4.37	12.1903	73.9818
4.38	12.9301	64.1076
4.39	13.5712	53.6342
4.4	14.1076	42.6415
4.41	14.534	31.2144
4.42	14.8461	19.4419
4.43	15.0405	7.41654
4.44	15.1147	-4.76629
4.45	15.067	-17.0092
4.46	14.8969	-29.2135
4.47	14.6048	-41.28
4.48	14.192	-53.1099
4.49	13.6609	-64.6055
4.5	13.0149	-75.6708
4.51	12.2581	-86.2128
4.52	11.396	-96.1419
4.53	10.4346	-105.373
4.54	9.38087	-113.825
4.55	8.24263	-121.423
4.56	7.02839	-128.1
4.57	5.7474	-133.793
4.58	4.40947	-138.448
4.59	3.02499	-142.02
4.6	1.60479	-144.47
4.61	0.160089	-145.77
4.62	-1.29761	-145.9
4.63	-2.75661	-144.849
4.64	-4.20509	-142.616
4.65	-5.63125	-139.21
4.66	-7.02335	-134.648
4.67	-8.36983	-128.959
4.68	-9.65942	-122.18
4.69	-10.8812	-114.356
4.7	-12.0248	-105.542
4.71	-13.0802	-95.8018
4.72	-14.0382	-85.2069
4.73	-14.8903	-73.8359
4.74	-15.6286	-61.7748
4.75	-16.2464	-49.1156
4.76	-16.7375	-35.956
4.77	-17.0971	-22.3986
4.78	-17.3211	-8.54993
4.79	-17.4066	5.48015
4.8	-17.3518	19.5795
4.81	-17.156	33.6344
4.82	-16.8196	47.5308
4.83	-16.3443	61.1547
4.84	-15.7328	74.3936
4.85	-14.9889	87.1372
4.86	-14.1175	99.2782
4.87	-13.1247	110.713
4.88	-12.0176	121.344
4.89	-10.8041	131.079
4.9	-9.49334	139.83
4.91	-8.09504	147.52
4.92	-6.61985	154.077
4.93	-5.07908	159.439
4.94	-3.4847	163.553
4.95	-1.84917	166.375
4.96	-0.185418	167.873
4.97	1.49331	168.023
4.98	3.17355	166.814
4.99	4.84168	164.243
5	6.48411	160.321
5.01	8.08733	155.069
5.02	9.63802	148.518
5.03	11.1232	140.712
5.04	12.5303	131.702
5.05	13.8473	121.552
5.06	15.0629	110.336
5.07	16.1662	98.1351
5.08	17.1476	85.0404
5.09	17.998	71.1509
5.1	18.7095	56.5725
5.11	19.2752	41.4178
5.12	19.6894	25.8049
5.13	19.9474	9.85652
5.14	20.046	-6.30091
5.15	19.983	-22.5382
5.16	19.7576	-38.7244
5.17	19.3704	-54.7281
5.18	18.8231	-70.4181
5.19	18.1189	-85.6648
5.2	17.2623	-100.341
5.21	16.2588	-114.324
5.22	15.1156	-127.493
5.23	13.8407	-139.737
5.24	12.4433	-150.948
5.25	10.9338	-161.027
5.26	9.32357	-169.883
5.27	7.62474	-177.435
5.28	5.85038	-183.611
5.29	4.01427	-188.35
5.3	2.13077	-191.602
5.31	0.214748	-193.328
5.32	-1.71853	-193.502
5.33	-3.65355	-192.11
5.34	-5.57464	-189.15
5.35	-7.46614	-184.635
5.36	-9.31249	-178.587
5.37	-11.0984	-171.044
5.38	-12.8088	-162.054
5.39	-14.4293	-151.679
5.4	-15.9461	-139.992
5.41	-17.3461	-127.075
5.42	-18.6168	-113.025
5.43	-19.7471	-97.9452
5.44	-20.7265	-81.9501
5.45	-21.546	-65.1616
5.46	-22.1976	-47.7094
5.47	-22.6747	-29.7293
5.48	-22.972	-11.3628
5.49	-23.0856	7.24457
5.5	-23.0132	25.9439
5.51	-22.7538	44.5846
5.52	-22.3079	63.0152
5.53	-21.6778	81.0846
5.54	-20.8669	98.6436
5.55	-19.8805	115.546
5.56	-18.725	131.649
5.57	-17.4085	146.816
5.58	-15.9404	160.917
5.59	-14.3312	173.829
5.6	-12.5929	185.437
5.61	-10.7385	195.637
5.62	-8.78216	204.336
5.63	-6.73881	211.449
5.64	-4.62432	216.908
5.65	-2.45524	220.653
5.66	-0.248709	222.642
5.67	1.97771	222.843
5.68	4.20614	221.241
5.69	6.41856	217.835
5.7	8.5969	212.635
5.71	10.7233	205.672
5.72	12.78	196.986
5.73	14.7498	186.634
5.74	16.6162	174.687
5.75	18.3631	161.228
5.76	19.9753	146.354
5.77	21.4389	130.174
5.78	22.7406	112.808
5.79	23.8687	94.3884
5.8	24.8126	75.0548
5.81	25.5631	54.9566
5.82	26.1127	34.2505
5.83	26.4552	13.0992
5.84	26.5862	-8.32953
5.85	26.5029	-29.8643
5.86	26.2042	-51.3317
5.87	25.6909	-72.5571
5.88	24.9654	-93.3668
5.89	24.0317	-113.589
5.9	22.8958	-133.054
5.91	21.5653	-151.6
5.92	20.0493	-169.068
5.93	18.3586	-185.308
5.94	16.5055	-200.178
5.95	14.5037	-213.548
5.96	12.3682	-225.296
5.97	10.1153	-235.314
5.98	7.76215	-243.507
5.99	5.32708	-249.795
6	2.82913	-254.11
6.01	0.288033	-256.401
6.02	-2.27598	-256.635
6.03	-4.84232	-254.791
6.04	-7.39023	-250.869
6.05	-9.89892	-244.883
6.06	-12.3477	-236.864
6.07	-14.7164	-226.863
6.08	-16.985	-214.943
6.09	-19.1344	-201.185
6.1	-21.1463	-185.686
6.11	-23.0031	-168.557
6.12	-24.6887	-149.925
6.13	-26.188	-129.927
6.14	-27.4872	-108.715
6.15	-28.5744	-86.4499
6.16	-29.4389	-63.3047
6.17	-30.0719	-39.4592
6.18	-30.4665	-15.1009
6.19	-30.6175	9.57696
6.2	-30.5218	34.3772
6.21	-30.178	59.0998
6.22	-29.587	83.544
6.23	-28.7516	107.509
6.24	-27.6765	130.798
6.25	-26.3685	153.216
6.26	-24.8363	174.575
6.27	-23.0906	194.692
6.28	-21.1436	213.395
6.29	-19.0097	230.522
6.3	-16.7045	245.92
6.31	-14.2453	259.45
6.32	-11.6508	270.989
6.33	-8.94089	280.426
6.34	-6.13663	287.668
6.35	-3.25995	292.639
6.36	-0.333563	295.279
6.37	2.61923	295.55
6.38	5.57473	293.428
6.39	8.50901	288.912
6.4	11.3981	282.02
6.41	14.2183	272.788
6.42	16.9462	261.271
6.43	19.5589	247.544
6.44	22.0344	231.702
6.45	24.3514	213.854
6.46	26.4899	194.129
6.47	28.4312	172.672
6.48	30.1579	149.643
6.49	31.6544	125.215
6.5	32.9065	99.5751
6.51	33.9023	72.9209
6.52	34.6315	45.46
6.53	35.0861	17.4085
6.54	35.2602	-11.0112
6.55	35.15	-39.5719
6.56	34.7543	-68.0434
6.57	34.0739	-96.1945
6.58	33.1119	-123.794
6.59	31.874	-150.615
6.6	30.3679	-176.433
6.61	28.6035	-201.031
6.62	26.5932	-224.2
6.63	24.3512	-245.74
6.64	21.8938	-265.465
6.65	19.2392	-283.199
6.66	16.4072	-298.782
6.67	13.4194	-312.072
6.68	10.2986	-322.942
6.69	7.06922	-331.284
6.7	3.75638	-337.01
6.71	0.386278	-340.053
6.72	-3.01425	-340.365
6.73	-6.4179	-337.924
6.74	-9.79714	-332.725
6.75	-13.1244	-324.79
6.76	-16.3723	-314.159
6.77	-19.5139	-300.897
